Fiyat,İlan Tarihi,Marka,Seri,Model,Yıl,Kilometre,Vites Tipi,Yakıt Tipi,Kasa Tipi,Renk,Motor_Hacmi,Motor_Gucu,Çekiş,Ort_Yakit_Tuketimi,Yakit_Deposu,Hizlanma_0_100_Sn,Agirlik,Silindir_Sayisi
607000.0,17 Kasım 2023,Toyota,Auris,1.4 D-4D Comfort Plus,2012,66000.0,Düz,Dizel,Hatchback/5,Füme,1364,90,Önden Çekiş,5.0,55,205,1955,4.0
559000.0,17 Kasım 2023,Fiat,Egea,1.4 Fire Easy,2021,101000.0,Düz,Benzin,Sedan,Beyaz,1368,95,Önden Çekiş,6.4,45,205,2000,4.0
1243000.0,17 Kasım 2023,Audi,A3,A3 Sedan 1.6 TDI Sport Line,2016,119000.0,Yarı Otomatik,Dizel,Sedan,Siyah,1598,110,Önden Çekiş,3.7,50,175,1749,4.0
555000.0,17 Kasım 2023,Renault,Latitude,1.5 dCi Expression,2011,198000.0,Düz,Dizel,Sedan,Siyah,1461,110,Önden Çekiş,5.0,66,195,1642,4.0
707500.0,17 Kasım 2023,Renault,Clio,1.5 dCi Touch,2017,99000.0,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1461,90,Önden Çekiş,3.7,45,186,1675,4.0
1980000.0,17 Kasım 2023,BMW,6 Serisi,645Ci,2005,208000.0,Otomatik,LPG & Benzin,Bilinmiyor,Diğer,4398,333,Arkadan İtiş,10.9,70,203,1840,4.0
310000.0,17 Kasım 2023,Fiat,Stilo,1.4 Active,2006,289000.0,Düz,LPG & Benzin,Hatchback/5,Gri (Gümüş),1370,95,Önden Çekiş,6.7,58,182,2020,4.0
305000.0,17 Kasım 2023,Opel,Vectra,2.0 CDX,2001,327000.0,Otomatik,LPG & Benzin,Sedan,Gri (Gümüş),1998,136,Önden Çekiş,9.4,60,250,2070,8.0
525000.0,17 Kasım 2023,Opel,Astra,1.6 Comfort,2008,275000.0,Düz,LPG & Benzin,Sedan,Gri (Gümüş),1598,103,Önden Çekiş,6.5,52,250,2070,8.0
287000.0,17 Kasım 2023,Opel,Corsa,1.2 Swing,2000,235000.0,Düz,Benzin,Hatchback/5,Gri (Gümüş),1199,65,Önden Çekiş,6.5,42,180,1555,4.0
855000.0,17 Kasım 2023,Volkswagen,Jetta,1.4 TSi BlueMotion Trendline,2016,113000.0,Yarı Otomatik,Benzin,Sedan,Beyaz,1395,125,Önden Çekiş,5.0,55,180,1555,4.0
310000.0,17 Kasım 2023,Renault,Symbol,1.5 dCi Joy,2013,249000.0,Düz,Dizel,Sedan,Beyaz,1461,90,Önden Çekiş,3.9,50,212,1740,4.0
895000885000.0,17 Kasım 2023,Peugeot,508,1.6 e-HDi Active,2014,133000.0,Yarı Otomatik,Dizel,Sedan,Siyah,1560,117,Önden Çekiş,4.0,72,188,1650,4.0
605000.0,17 Kasım 2023,Kia,Rio,1.4 CRDi Comfort,2016,144000.0,Düz,Dizel,Hatchback/5,Beyaz,1396,90,Önden Çekiş,3.9,43,163,1370,4.0
715000.0,17 Kasım 2023,Renault,Clio,1.5 dCi Touch,2018,168000.0,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1461,90,Önden Çekiş,3.7,45,206,1870,4.0
1075000.0,17 Kasım 2023,Skoda,Octavia,1.6 TDI Style CR,2018,135000.0,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1598,110,Önden Çekiş,3.7,50,167,1609,4.0
