Fiyat,Marka,Yıl,Kilometre,Vites Tipi,Yakıt Tipi,Kasa Tipi,Renk,Motor_Hacmi,Motor_Gucu,Çekiş,Ort_Yakit_Tuketimi,Yakit_Deposu,Agirlik,Silindir_Sayisi,Maksimum Hız
1120000.0,Peugeot,2023,6100.0,Otomatik,Benzin,Hatchback/5,Sarı,1199,132,Önden Çekiş,4.5,44,2140,4.0,211
775000.0,Honda,2012,174000.0,Düz,LPG & Benzin,Sedan,Beyaz,1595,125,Önden Çekiş,6.7,50,1820,4.0,195
848000.0,Volkswagen,2014,165200.0,Yarı Otomatik,Dizel,Sedan,Siyah,1598,105,Önden Çekiş,4.7,55,1915,3.0,200
410000.0,Volkswagen,2000,270000.0,Otomatik,LPG & Benzin,Hatchback/5,Gri (Gümüş),1595,102,Önden Çekiş,8.0,55,1685,4.0,170
615500.0,Volkswagen,2010,237000.0,Yarı Otomatik,Benzin,Bilinmiyor,Diğer,1390,160,Önden Çekiş,6.3,55,1730,4.0,183
544950.0,Dacia,2015,122000.0,Düz,Dizel,Hatchback/5,Bordo,1461,90,Önden Çekiş,4.0,50,1920,4.0,190
309000.0,Renault,2005,251000.0,Düz,LPG & Benzin,Sedan,Bej,1390,98,Önden Çekiş,7.0,50,1700,4.0,185
490000.0,Peugeot,2008,275000.0,Düz,Dizel,Sedan,Siyah,1560,112,Önden Çekiş,5.3,66,1730,4.0,218
655000.0,Peugeot,2012,182000.0,Yarı Otomatik,Dizel,Sedan,Beyaz,1560,114,Önden Çekiş,4.4,72,1675,4.0,185
718000.0,Volkswagen,2013,158000.0,Yarı Otomatik,Benzin,Sedan,Siyah,1197,105,Önden Çekiş,5.4,55,1642,4.0,195
255000.0,Tofaş,2000,111111.0,Düz,LPG & Benzin,Sedan,Gri (metalik),1581,96,Arkadan İtiş,6.6,45,1500,4.0,186
565000.0,Peugeot,2008,157500.0,Otomatik,LPG & Benzin,Hatchback/5,Siyah,1598,122,Önden Çekiş,7.0,50,2020,4.0,192
869000.0,Hyundai,2019,127000.0,Düz,LPG & Benzin,Sedan,Beyaz,1591,127,Önden Çekiş,6.6,50,2005,4.0,197
1350000.0,Volkswagen,2015,106000.0,Yarı Otomatik,Benzin,Sedan,Siyah,1395,125,Önden Çekiş,5.0,66,1800,4.0,190
1150000.0,Honda,2020,146500.0,Otomatik,LPG & Benzin,Sedan,Gri,1597,125,Önden Çekiş,6.3,46,1450,4.0,180
925000.0,Seat,2016,101500.0,Düz,Benzin,Hatchback/5,Beyaz,1395,150,Önden Çekiş,4.9,50,1605,4.0,195
605000.0,Fiat,2017,103000.0,Düz,LPG & Benzin,Sedan,Beyaz,1368,95,Önden Çekiş,5.7,45,2230,4.0,225
744900.0,Fiat,2017,92620.0,Yarı Otomatik,Dizel,MPV,Kırmızı,1248,95,Önden Çekiş,3.9,50,2230,4.0,225
569750.0,Hyundai,2015,195000.0,Otomatik,Benzin,Hatchback/5,Beyaz,1368,100,Önden Çekiş,6.2,50,1675,4.0,185
385000.0,Volkswagen,1998,325000.0,Otomatik,LPG & Benzin,Sedan,Gri (Gümüş),1781,150,Önden Çekiş,9.1,62,1704,3.0,178
705000.0,Citroen,2021,60000.0,Düz,Dizel,Sedan,Beyaz,1499,100,Önden Çekiş,3.9,50,1845,4.0,171
445000.0,Renault,2010,195000.0,Düz,Dizel,Sedan,Beyaz,1461,65,Önden Çekiş,4.5,50,1460,4.0,163
